WKT,osm_id,name,type
"LINESTRING (18.0920492 52.2575548,18.0901536 52.2578008,18.0865505 52.2583072,18.0815327 52.25891,18.0803783 52.2590423,18.0789112 52.2592467,18.0771796 52.2595353,18.075039 52.2599923,18.0723213 52.2606898,18.0660321 52.262241,18.0596707 52.2638645,18.0565682 52.26461,18.0521188 52.2657284,18.0488599 52.2665822,18.0467675 52.2670872,18.0434606 52.2678689,18.0401416 52.268386,18.0371593 52.2685664,18.0347783 52.2686866,18.0317599 52.2688309,18.0230416 52.2692999,18.0158985 52.2696847,18.0109922 52.2699613)",4693362,,rail
"LINESTRING (18.0109922 52.2699613,18.0072644 52.2701777,18.0010833 52.2705145,17.9944935 52.2708872,17.9874106 52.2712961,17.980015 52.271741,17.9745555 52.2720537,17.9706954 52.2722581,17.9673162 52.2724385)",4693363,,rail
"LINESTRING (17.9673162 52.2724385,17.9636004 52.272655,17.9566618 52.2731119,17.9519479 52.2733765,17.9464283 52.274098,17.9404036 52.2748556,17.9340661 52.2757217,17.9294737 52.2763451,17.9257334 52.2768438,17.9228242 52.2771347,17.9171306 52.2774049,17.9063666 52.2778205,17.8995924 52.2780698,17.8936494 52.2783192,17.8862726 52.2786517,17.8761529 52.2790257,17.8710549 52.2791978,17.868995 52.279266,17.8665059 52.2794236,17.8640511 52.2797386,17.8618772 52.2802517,17.8611071 52.2805265,17.8606265 52.2806996,17.858927 52.2814452,17.8572225 52.2824543,17.8556433 52.283805,17.8526094 52.2867765)",4693364,,rail
"LINESTRING (17.8526094 52.2867765,17.8494509 52.2899143,17.8452977 52.2940171,17.8435977 52.2955912,17.8419702 52.2968252,17.8400813 52.2980215,17.8383687 52.2989156,17.8362658 52.2998348,17.833231 52.3011696,17.8275266 52.3036503,17.8221245 52.3059296,17.8188756 52.3073525,17.8169238 52.308108,17.8154757 52.3085236,17.8139016 52.3089517,17.8113076 52.3095436,17.806724 52.3105258)",4693365,,rail
"LINESTRING (17.806724 52.3105258,17.8027699 52.3113569,17.798627 52.3122006,17.7913486 52.3136109,17.7835035 52.3151598,17.7812369 52.3156509,17.7791843 52.3161672,17.7729511 52.3180561,17.7664282 52.3200834,17.7649045 52.3204864,17.7630534 52.3208768,17.7608371 52.3212419,17.7578779 52.3215064,17.7546039 52.3216323)",4693366,,rail
"LINESTRING (17.7546039 52.3216323,17.751141 52.3217456,17.7443411 52.3221108,17.7386115 52.3223753,17.7311694 52.3227656,17.7253769 52.3230427,17.7221658 52.3232064,17.7175696 52.323433,17.7119156 52.3237101,17.7046371 52.3241256,17.698492 52.3244656,17.6966535 52.3246167,17.6950039 52.3247804,17.6916166 52.3253093)",4693368,,rail
"LINESTRING (17.6916166 52.3253093,17.6894003 52.3256493,17.68527 52.3262411,17.6815804 52.3268204,17.6762034 52.3276011,17.6728035 52.3281048,17.6685598 52.3287218,17.6631073 52.3295152,17.6610086 52.329836,17.6559037 52.3305814,17.6518624 52.3311852,17.6481784 52.3317396,17.6450612 52.3322078)",4693369,,rail
"LINESTRING (17.6450612 52.3322078,17.6432623 52.3324789,17.6360454 52.3335361,17.6335541 52.3338476,17.6314451 52.3340174,17.6281895 52.334258,17.6259813 52.3343996,17.6234759 52.3345694,17.6202628 52.3347818,17.6123644 52.3353196,17.6104677 52.3354754,17.6014369 52.3360982,17.5943879 52.3365794,17.5867726 52.3371173,17.5826677 52.3373862,17.5796527 52.337641,17.5766095 52.3379383,17.5732406 52.3382638,17.5705512 52.3384479,17.5673522 52.3385611,17.5655687 52.3385611,17.5639976 52.3384762,17.5628652 52.3383488,17.5613223 52.3379949,17.5599351 52.3374853,17.558364 52.336636,17.5575996 52.3360132,17.5567079 52.3349375,17.5563115 52.3339608,17.5561841 52.3327576,17.555986 52.3309458,17.5557736 52.3300541,17.5556698 52.3296623,17.5554905 52.3290774,17.5551791 52.3275345)",4693370,,rail
"LINESTRING (17.5551791 52.3275345,17.5549243 52.3252698,17.5547828 52.3235287,17.5545918 52.3215586,17.5544131 52.3200142,17.5540557 52.3187633,17.5535962 52.3175508,17.552741 52.3164914,17.5517931 52.3157601,17.5508318 52.3152669,17.5497933 52.3149363,17.5485745 52.3146897,17.5470228 52.3145257,17.545476 52.3145533,17.5440426 52.3147422,17.5427294 52.3151672,17.5414705 52.3158149,17.5403856 52.3166318,17.5394155 52.3179465,17.5386625 52.3190569,17.5378456 52.3198483,17.5362501 52.3207417,17.5347057 52.3212778,17.5307489 52.3222989,17.5283493 52.3229371,17.5266772 52.3234349,17.5227714 52.3248007,17.5178701 52.3270599,17.5133262 52.3293446,17.5088971 52.3315655,17.5048892 52.3335439,17.5017876 52.3348969,17.4990306 52.335867,17.4960439 52.336786,17.4928018 52.3378198,17.4877856 52.3393387,17.4834459 52.3407555,17.4807783 52.3415469)",4693371,,rail
"LINESTRING (17.4807783 52.3415469,17.4804192 52.3416706,17.4770138 52.3427844,17.4747138 52.3435545,17.4738033 52.343933,17.4736835 52.3439604,17.4734342 52.3440379,17.4720391 52.34446,17.4708527 52.3448138,17.4689898 52.3451989,17.4676681 52.3454383,17.4654721 52.3457089,17.4639943 52.3458129,17.4615173 52.3458442,17.4596336 52.3457505,17.4566259 52.3454903,17.453691 52.3451885,17.4515575 52.3450012,17.447967 52.3449387,17.4437168 52.3453015,17.4401212 52.3456927,17.4363206 52.3464193,17.4320915 52.3474812,17.4275644 52.3487108,17.4226917 52.3499535,17.4112592 52.3529204,17.410112 52.3532105,17.408767 52.3535402,17.4071978 52.3538303,17.4058 52.3540413,17.4046397 52.3541731,17.4035452 52.354239,17.4015541 52.3543709)",4693372,,rail
