WKT,osm_id,name,type,population
"POINT (16.9333333 54.1166667)",31345468,Tursko,village,199
"POINT (17.1666667 54.0833333)",31345469,Turowo,village,124
"POINT (15.5833333 54.0)",31345470,Trzynik,village,0
"POINT (17.15 53.9666667)",31345471,Trzyniec,village,33
"POINT (15.1666667 53.85)",31345472,Trzygłów,village,670
"POINT (15.15 53.9833333)",31345473,Trzeszyn,village,0
"POINT (16.6333333 53.7166667)",31345474,Trzesieka,village,0
"POINT (15.0 54.0666667)",31345484,Trzęsacz,village,89
"POINT (14.9666667 53.7333333)",31345486,Trzechel,village,0
"POINT (15.2666667 54.1)",31345487,Trzebusz,village,693
"POINT (14.85 53.9666667)",31345488,Trzebieszewo,village,0
"POINT (17.0833333 54.2)",31345489,Trzebielino,village,744
"POINT (16.5666667 53.8333333)",31345490,Trzebiechowo,village,220
"POINT (15.2666667 54.0666667)",31345491,Trzebiatów,town,10
"POINT (17.0666667 54.0833333)",31345501,Trzcinno,village,327
"POINT (15.1166667 53.8)",31345505,Truskolas,village,0
"POINT (15.3 53.6666667)",31345506,Troszczyno,village,0
"POINT (15.7361796 53.6744759)",31345507,Tarnowo,village,0
"POINT (16.35 53.6833333)",31345508,Tarmno,village,0
"POINT (15.3166667 53.9166667)",31345516,Tąpadły,village,164
"POINT (15.2333333 53.9166667)",31345517,Tąpadły,village,164
"POINT (14.8666667 53.9166667)",31345518,Szumiąca,village,0
"POINT (16.3846295 54.1809734)",31345519,Szczeglino,village,0
"POINT (16.7 53.7166667)",31345520,Szczecinek,town,38488
"POINT (16.85 54.4166667)",31345521,Sycewice,village,1089
"POINT (16.8333333 54.4666667)",31345522,Swołowo,village,240
"POINT (14.8666667 53.9833333)",31345523,Swiniec,village,110
"POINT (14.9 53.7333333)",31345524,Świętoszewo,village,0
"POINT (16.1666667 54.1166667)",31345525,Świeszyno,village,497
"POINT (17.0666667 53.9833333)",31345526,Swieszyno,village,152
"POINT (17.0666667 54.0)",31345541,Świeszynko,village,71
"POINT (15.0666667 53.8666667)",31345542,Świeszewo,village,0
"POINT (16.85 54.0666667)",31345543,Świerzno,village,222
"POINT (14.9666667 53.9666667)",31345544,Świerzno,village,670
"POINT (15.9833333 53.85)",31345545,Swierznica,village,0
"POINT (16.85 54.0833333)",31345546,Świerzenko,village,499
"POINT (16.6166667 54.15)",31345547,Świerczyna,village,280
"POINT (15.95 54.0833333)",31345548,Świemino,village,0
"POINT (16.3666667 54.0)",31345549,Świelino,village,320
"POINT (15.4666667 54.0333333)",31345550,Świecie Kołobrzeskie,village,0
"POINT (17.25 54.5333333)",31345551,Swiecichowo,village,260
"POINT (15.7833333 53.7666667)",31345552,Świdwin,town,15498
"POINT (16.5166667 54.45)",31345553,Sulimice,village,130
"POINT (14.9166667 54.0166667)",31345554,Sulikowo,village,0
"POINT (16.3333333 53.8)",31345555,Sulikowo,village,0
"POINT (16.5333333 54.2666667)",31345556,Sulechowo,village,0
"POINT (16.55 54.2666667)",31345557,Sulechowko,village,160
"POINT (17.1 54.2666667)",31345558,Suchorze,village,664
"POINT (15.0 53.95)",31345560,Stuchowo,village,0
"POINT (15.3833333 53.9666667)",31345561,Strzykocin,village,175
"POINT (14.8666667 54.0166667)",31345562,Strzeżewo,village,0
"POINT (16.0833333 54.2333333)",31345563,Strzeźenice,village,0
"POINT (15.8666667 54.1666667)",31345564,Strzepowo,village,0
"POINT (16.9666667 54.5)",31345565,Strzelino,village,478
"POINT (16.95 54.5166667)",31345566,Strzelinko,village,180
"POINT (15.0 53.6666667)",31345567,Strzelewo,village,0
"POINT (16.15 54.1)",31345568,Strzekęcino,village,632
"POINT (17.2333333 54.3166667)",31345569,Strzegonino,village,0
"POINT (15.65 54.15)",31345607,Stramnica,village,210
"POINT (15.85 54.1666667)",31345608,Strachomino,village,0
"POINT (16.4739469 53.7963073)",31345609,Storkowo,village,150
"POINT (15.35 53.9333333)",31345610,Stołąz,village,139
"POINT (15.7333333 54.15)",31345611,Stojkowo,village,0
"POINT (17.1833333 54.6166667)",31345612,Stojcinó,village,123
"POINT (16.7666667 53.8166667)",31345613,Stepień,village,340
"POINT (17.0666667 53.9666667)",31345614,Starzno,village,111
"POINT (15.0333333 53.95)",31345615,Starza,village,179
"POINT (15.741597 53.7747424)",31345616,Stary Przybsław,village,0
"POINT (16.6166667 54.4333333)",31345617,Stary Karków,village,0
"POINT (16.55 54.4)",31345618,Stary Jarosław,village,481
"POINT (16.3833333 53.7166667)",31345619,Stary Grabiąż,village,0
"POINT (16.4094023 53.7753137)",31345620,Stary Chwalim,village,0
"POINT (15.4833333 54.1333333)",31345621,Stary Borek,village,250
"POINT (15.45 53.9666667)",31345623,Starnin,village,260
"POINT (17.2333333 54.3833333)",31345633,Starnice,village,270
"POINT (16.8 54.5)",31345634,Starkowo,village,203
"POINT (17.1166667 54.25)",31345635,Starkowo,village,334
"POINT (16.6666667 53.8333333)",31345638,Stare Wierzchowo,village,140
"POINT (15.6830604 53.9170311)",31345639,Stare Ślepce,village,0
"POINT (15.9666667 53.6666667)",31345640,Stare Resko,village,100
"POINT (16.0333333 53.8166667)",31345641,Stare Ludzicko,village,260
"POINT (16.1717763 53.8651524)",31345642,Stare Dębno,village,195
"POINT (16.6666667 54.0)",31345643,Stare Borne,village,220
"POINT (16.1166667 54.1833333)",31345644,Stare Bielice,village,1000
"POINT (15.5366333 53.8188479)",31345645,Stara Dobrzyca,village,0
"POINT (15.9021003 53.9572499)",31345646,Stanomino,village,701
"POINT (16.7333333 54.4333333)",31345676,Staniewice,village,446
"POINT (17.1166667 54.4333333)",31345677,Stanięcino,village,140
"POINT (16.6833333 53.8)",31345678,Spore,village,0
"POINT (16.5166667 54.1833333)",31345679,Sowno,village,0
"POINT (15.2 53.8)",31345680,Sowno,village,0
"POINT (16.5 54.1833333)",31345681,Sowinko,village,100
"POINT (15.6666667 53.85)",31345682,Sobiemirowo,village,0
"POINT (14.8666667 53.8833333)",31345683,Śniatowo,village,0
"POINT (15.5321701 53.6716492)",31345684,Smorawina,village,100
"POINT (17.2 54.1)",31345685,Smolenko,village,0
"POINT (15.2333333 53.8833333)",31345686,Smolęcin,village,0
"POINT (17.2166667 54.65)",31345688,Smołdzino,village,984
"POINT (16.0833333 53.6833333)",31345689,Smołdzięcino,village,0
"POINT (16.1396934 53.6728018)",31345690,Śmidzięcino,village,0
"POINT (16.4166667 53.9333333)",31345691,Smęcino,village,143
"POINT (15.8666667 53.7833333)",31345692,Smardzko,village,0
"POINT (16.6166667 54.3)",31345707,Smardzewo,village,378
"POINT (17.0333299 54.4500003)",31345720,Słupsk,town,97275
"POINT (15.2833333 53.8)",31345733,Słudwia,village,0
"POINT (16.5166667 54.35)",31345746,Słowino,village,410
"POINT (15.6403167 53.8651341)",31345760,Słowieńsko,village,320
"POINT (16.9824882 53.9372771)",31345773,Słosinko,village,674
"POINT (16.9 54.3833333)",31345786,Slonowice,village,0
"POINT (15.7126129 53.7131968)",31345795,Słonowice,village,0
"POINT (16.1666667 54.0)",31345796,Słonino,village,229
"POINT (15.05 54.0666667)",31345797,Śliwin,village,224
"POINT (16.7166667 54.4)",31345798,Sławsko,village,860
"POINT (15.7093246 53.8910401)",31345799,Sławoborze,village,2009
"POINT (16.6833339 54.3499975)",31345800,Sławno,town,13117
"POINT (15.9166667 53.8)",31345801,Sławka,village,0
"POINT (15.9166667 53.7666667)",31345802,Sława,village,0
"POINT (16.2 54.2333333)",31345803,Skwierzynka,village,0
"POINT (15.45 53.9)",31345804,Skrzydłowo,village,140
"POINT (15.9333333 54.2166667)",31345805,Skrzeszewo,village,0
"POINT (15.7 54.0666667)",31345806,Skronie,village,0
"POINT (15.0833333 54.05)",31345807,Skrobotowo,village,0
"POINT (15.8403448 54.1151853)",31345808,Skoczów,village,0
"POINT (16.2833333 54.2333333)",31345809,Skibno,village,0
"POINT (17.1166667 54.3666667)",31345810,Skarszów Górny,village,271
"POINT (17.1166667 54.3666667)",31345811,Skarszów Dolny,village,55
"POINT (15.1068488 54.0808665)",31345812,Skalno,village,0
"POINT (15.25 53.95)",31345813,Skalin,village,64
"POINT (16.5 54.4)",31345814,Sińczyca,village,143
"POINT (15.903817 53.9418946)",31345815,Sińce,village,121
"POINT (15.0833333 53.75)",31345817,Sikorki,village,0
"POINT (16.9666667 54.3833333)",31345827,Sierakowo Słupskie,village,225
"POINT (16.5166667 54.2166667)",31345836,Sierakowo Sławieńskie,village,510
"POINT (15.5333333 54.0166667)",31345847,Siemyśl,village,510
"POINT (15.3666667 54.0333333)",31345853,Siemidarżno,village,109
"POINT (17.05 54.5)",31345854,Siemianice,village,1141
"POINT (16.4166667 54.2333333)",31345855,Sieciemin,village,0
"POINT (17.2166667 54.6166667)",31345856,Siecie,village,0
"POINT (15.7640846 53.9086389)",31345857,Sidłowo,village,0
"POINT (16.2997045 54.2266138)",31345858,Sianów,town,6559
"POINT (16.7666667 53.95)",31345859,Sępolno Wielkie,village,360
"POINT (16.75 53.9166667)",31345860,Sępolno Małe,village,70
"POINT (16.8499999 54.3333308)",31345861,Ściegnica,village,0
"POINT (15.95 54.25)",31345862,Sarbinowo,village,500
"POINT (15.4166667 54.0833333)",31345863,Sarbia,village,0
"POINT (15.3833333 54.0833333)",31345864,Samowo,village,0
"POINT (14.95 53.85)",31345865,Samlino,village,0
"POINT (15.1833333 54.0666667)",31345866,Sadlno,village,0
"POINT (15.2166667 54.05)",31345867,Sadlenko,village,42
"POINT (16.1997571 53.8914631)",31345868,Sadkowo,village,284
"POINT (17.1666667 54.45)",31345869,Sąborze,village,186
"POINT (16.0502867 53.9265974)",31345870,Rzyszczewo,village,87
"POINT (15.4858215 53.928555)",31345872,Rzesznikowo,village,220
"POINT (15.15 53.9166667)",31345873,Rzęskowo,village,238
"POINT (15.1166667 53.8833333)",31345874,Rzęsin,village,206
"POINT (16.25 54.2833333)",31345875,Rzepkowo,village,0
"POINT (15.8190162 53.7010285)",31345876,Rzepczyno,village,0
"POINT (16.75 54.1166667)",31345881,Rzeczyca Wielka,village,300
"POINT (16.7833333 54.1)",31345884,Rzeczyca Mała,village,0
"POINT (17.1166667 53.75)",31345892,Rzeczenica,village,1566
"POINT (15.9833333 53.8333333)",31345897,Rzecino,village,350
"POINT (17.05 54.4833333)",31345903,Ryczewo,village,0
"POINT (15.8666667 53.9166667)",31345904,Rychówko,village,69
"POINT (15.0833333 53.9)",31345909,Rybokarty,village,158
"POINT (16.4166667 54.4)",31345910,Rusko,village,221
"POINT (16.5 54.5)",31345911,Rusinowo,village,282
"POINT (15.598088 53.781133)",31345912,Rusinowo,village,0
"POINT (16.9 54.4)",31345913,Runowo Sławieńskie,village,0
"POINT (16.6 54.3333333)",31345914,Rsyszczewo,village,0
"POINT (16.4666667 53.8333333)",31345916,Równe,village,170
"POINT (15.2833333 53.8833333)",31345917,Rotnowo,village,173
"POINT (16.6 54.1)",31345918,Rosocha,village,100
"POINT (16.2833333 54.0666667)",31345919,Rosnowo,village,2300
"POINT (15.8957914 53.9987046)",31345920,Rościno,village,199
"POINT (15.5921225 54.1261515)",31345921,Rościęcino,village,314
"POINT (17.1333333 54.1)",31345922,Role,village,108
"POINT (15.7232292 53.9484617)",31345923,Rokosowo,village,350
"POINT (14.85 53.7666667)",31345924,Rokita,village,270
"POINT (16.017156 53.9675138)",31345925,Rogowo,village,335
"POINT (17.15 54.5166667)",31345926,Rogawica,village,262
"POINT (16.7666667 54.2166667)",31345927,Rodgóry,village,0
"POINT (16.75 54.1333333)",31345928,Rochowo,village,17
"POINT (15.7333333 54.0166667)",31345930,Robuń,village,400
"POINT (17.1166667 54.6333333)",31345939,Retowo,village,0
"POINT (15.3999957 53.7666687)",31345940,Resko,town,4415
"POINT (16.5031207 54.1142822)",31345941,Rekowo,village,100
"POINT (17.1166667 54.4666667)",31345942,Redzikowo,village,405
